,haplotype,motif_type,class,fraction
96,HG03065_hap1,IR,Methylated,0.3498033306679362
97,HG03065_hap1,IR,Unmethylated,0.6501966693320638
98,HG03065_hap1,MR,Methylated,0.329803128522767
99,HG03065_hap1,MR,Unmethylated,0.670196871477233
100,HG03065_hap1,DR,Methylated,0.3385569473022629
101,HG03065_hap1,DR,Unmethylated,0.6614430526977372
102,HG03065_hap1,APR,Methylated,0.3487217871948411
103,HG03065_hap1,APR,Unmethylated,0.651278212805159
104,HG03065_hap1,Z,Methylated,0.3631606279710782
105,HG03065_hap1,Z,Unmethylated,0.6368393720289218
106,HG03065_hap1,G4,Methylated,0.3768020531131444
107,HG03065_hap1,G4,Unmethylated,0.6231979468868556
108,NA18534_hap1,IR,Methylated,0.5189202797642931
109,NA18534_hap1,IR,Unmethylated,0.48107972023570694
110,NA18534_hap1,MR,Methylated,0.5027919211677806
111,NA18534_hap1,MR,Unmethylated,0.49720807883221946
112,NA18534_hap1,DR,Methylated,0.5107004598611526
113,NA18534_hap1,DR,Unmethylated,0.48929954013884736
114,NA18534_hap1,APR,Methylated,0.5170940170940171
115,NA18534_hap1,APR,Unmethylated,0.4829059829059829
116,NA18534_hap1,Z,Methylated,0.5375442938297992
117,NA18534_hap1,Z,Unmethylated,0.4624557061702008
118,NA18534_hap1,G4,Methylated,0.5434705042816366
119,NA18534_hap1,G4,Unmethylated,0.4565294957183635
120,NA19384_hap2,IR,Methylated,0.46407129326198476
121,NA19384_hap2,IR,Unmethylated,0.5359287067380153
122,NA19384_hap2,MR,Methylated,0.44780657511634836
123,NA19384_hap2,MR,Unmethylated,0.5521934248836516
124,NA19384_hap2,DR,Methylated,0.4780054620100921
125,NA19384_hap2,DR,Unmethylated,0.5219945379899079
126,NA19384_hap2,APR,Methylated,0.47063470768863847
127,NA19384_hap2,APR,Unmethylated,0.5293652923113615
128,NA19384_hap2,Z,Methylated,0.4808091666463072
129,NA19384_hap2,Z,Unmethylated,0.5191908333536928
130,NA19384_hap2,G4,Methylated,0.48980073413738856
131,NA19384_hap2,G4,Unmethylated,0.5101992658626114
132,NA19434_hap2,IR,Methylated,0.46731630819191333
133,NA19434_hap2,IR,Unmethylated,0.5326836918080867
134,NA19434_hap2,MR,Methylated,0.44732802853481335
135,NA19434_hap2,MR,Unmethylated,0.5526719714651867
136,NA19434_hap2,DR,Methylated,0.4690218362335037
137,NA19434_hap2,DR,Unmethylated,0.5309781637664963
138,NA19434_hap2,APR,Methylated,0.4659144588557623
139,NA19434_hap2,APR,Unmethylated,0.5340855411442377
140,NA19434_hap2,Z,Methylated,0.4834372252857029
141,NA19434_hap2,Z,Unmethylated,0.5165627747142971
142,NA19434_hap2,G4,Methylated,0.48963145645906425
143,NA19434_hap2,G4,Unmethylated,0.5103685435409357
144,NA19239_hap1,IR,Methylated,0.503468345234058
145,NA19239_hap1,IR,Unmethylated,0.49653165476594197
146,NA19239_hap1,MR,Methylated,0.4836690286538928
147,NA19239_hap1,MR,Unmethylated,0.5163309713461073
148,NA19239_hap1,DR,Methylated,0.5071075541851818
149,NA19239_hap1,DR,Unmethylated,0.49289244581481817
150,NA19239_hap1,APR,Methylated,0.5185230921215115
151,NA19239_hap1,APR,Unmethylated,0.4814769078784885
152,NA19239_hap1,Z,Methylated,0.5145370871683812
153,NA19239_hap1,Z,Unmethylated,0.48546291283161885
154,NA19239_hap1,G4,Methylated,0.5149745213608121
155,NA19239_hap1,G4,Unmethylated,0.4850254786391879
156,NA18989_hap2,IR,Methylated,0.5419072080558888
157,NA18989_hap2,IR,Unmethylated,0.4580927919441112
158,NA18989_hap2,MR,Methylated,0.526265037208217
159,NA18989_hap2,MR,Unmethylated,0.473734962791783
160,NA18989_hap2,DR,Methylated,0.5490693563481335
161,NA18989_hap2,DR,Unmethylated,0.45093064365186647
162,NA18989_hap2,APR,Methylated,0.5384834907679575
163,NA18989_hap2,APR,Unmethylated,0.46151650923204246
164,NA18989_hap2,Z,Methylated,0.5615312191425357
165,NA18989_hap2,Z,Unmethylated,0.4384687808574643
166,NA18989_hap2,G4,Methylated,0.5595340282035561
167,NA18989_hap2,G4,Unmethylated,0.4404659717964439
168,HG04217_hap1,IR,Methylated,0.588769029883966
169,HG04217_hap1,IR,Unmethylated,0.41123097011603404
170,HG04217_hap1,MR,Methylated,0.5760702378171426
171,HG04217_hap1,MR,Unmethylated,0.4239297621828574
172,HG04217_hap1,DR,Methylated,0.5869563621144145
173,HG04217_hap1,DR,Unmethylated,0.41304363788558546
174,HG04217_hap1,APR,Methylated,0.5892851284406679
175,HG04217_hap1,APR,Unmethylated,0.41071487155933206
176,HG04217_hap1,Z,Methylated,0.6016165081345184
177,HG04217_hap1,Z,Unmethylated,0.39838349186548155
178,HG04217_hap1,G4,Methylated,0.6098734106625028
179,HG04217_hap1,G4,Unmethylated,0.3901265893374972
180,NA19836_hap2,IR,Methylated,0.4876552149752687
181,NA19836_hap2,IR,Unmethylated,0.5123447850247314
182,NA19836_hap2,MR,Methylated,0.46644578493065564
183,NA19836_hap2,MR,Unmethylated,0.5335542150693444
184,NA19836_hap2,DR,Methylated,0.502948347317611
185,NA19836_hap2,DR,Unmethylated,0.497051652682389
186,NA19836_hap2,APR,Methylated,0.49866226214201864
187,NA19836_hap2,APR,Unmethylated,0.5013377378579814
188,NA19836_hap2,Z,Methylated,0.501941323776047
189,NA19836_hap2,Z,Unmethylated,0.49805867622395295
190,NA19836_hap2,G4,Methylated,0.5084517789475046
191,NA19836_hap2,G4,Unmethylated,0.49154822105249546
192,HG03371_hap2,IR,Methylated,0.5467690253671562
193,HG03371_hap2,IR,Unmethylated,0.4532309746328438
194,HG03371_hap2,MR,Methylated,0.5277186854096915
195,HG03371_hap2,MR,Unmethylated,0.4722813145903086
196,HG03371_hap2,DR,Methylated,0.551795721775947
197,HG03371_hap2,DR,Unmethylated,0.4482042782240529
198,HG03371_hap2,APR,Methylated,0.5494516483882796
199,HG03371_hap2,APR,Unmethylated,0.4505483516117204
200,HG03371_hap2,Z,Methylated,0.5624525148153776
201,HG03371_hap2,Z,Unmethylated,0.4375474851846224
202,HG03371_hap2,G4,Methylated,0.5759409495943609
203,HG03371_hap2,G4,Unmethylated,0.42405905040563907
204,HG03371_hap1,IR,Methylated,0.5455758677940186
205,HG03371_hap1,IR,Unmethylated,0.4544241322059815
206,HG03371_hap1,MR,Methylated,0.5289829898439823
207,HG03371_hap1,MR,Unmethylated,0.4710170101560177
208,HG03371_hap1,DR,Methylated,0.5485681393006188
209,HG03371_hap1,DR,Unmethylated,0.4514318606993812
210,HG03371_hap1,APR,Methylated,0.5517061163935532
211,HG03371_hap1,APR,Unmethylated,0.44829388360644684
212,HG03371_hap1,Z,Methylated,0.5634264315805898
213,HG03371_hap1,Z,Unmethylated,0.4365735684194102
214,HG03371_hap1,G4,Methylated,0.5692664604507292
215,HG03371_hap1,G4,Unmethylated,0.4307335395492709
216,HG01457_hap1,IR,Methylated,0.5766434058890826
217,HG01457_hap1,IR,Unmethylated,0.4233565941109175
218,HG01457_hap1,MR,Methylated,0.5652477044910416
219,HG01457_hap1,MR,Unmethylated,0.4347522955089584
220,HG01457_hap1,DR,Methylated,0.5761474164593661
221,HG01457_hap1,DR,Unmethylated,0.42385258354063393
222,HG01457_hap1,APR,Methylated,0.5788501469676132
223,HG01457_hap1,APR,Unmethylated,0.42114985303238683
224,HG01457_hap1,Z,Methylated,0.5928680766660199
225,HG01457_hap1,Z,Unmethylated,0.40713192333398013
226,HG01457_hap1,G4,Methylated,0.6049802301301701
227,HG01457_hap1,G4,Unmethylated,0.39501976986982984
228,HG02666_hap2,IR,Methylated,0.5600473428514773
229,HG02666_hap2,IR,Unmethylated,0.4399526571485227
230,HG02666_hap2,MR,Methylated,0.5461240920533142
231,HG02666_hap2,MR,Unmethylated,0.45387590794668575
232,HG02666_hap2,DR,Methylated,0.5741393204520324
233,HG02666_hap2,DR,Unmethylated,0.4258606795479675
234,HG02666_hap2,APR,Methylated,0.5827183669946487
235,HG02666_hap2,APR,Unmethylated,0.41728163300535126
